date,smp_max,smp_min,smp_mean,supply,month,day,dayofweek,temp_max,temp_min,temp_mean
2018-02-01,150.65,116.84,132.71,87.47,2,1,3,6.2,3.4,4.683333333333334
2018-02-02,163.86,116.84,134.19,86.64,2,2,4,5.5,2.2,3.6624999999999996
2018-02-03,164.07,116.85,131.39,88.28,2,3,5,4.9,-0.6,1.6541666666666668
2018-02-04,171.0,115.76,131.89,86.14,2,4,6,0.2,-1.7,-0.7041666666666667
2018-02-05,170.34,123.89,137.96,90.63,2,5,0,2.3,-1.2,0.29583333333333334
2018-02-06,167.99,119.11,140.06,91.18,2,6,1,0.2,-1.7,-0.6666666666666666
2018-02-07,141.07,124.11,132.76,90.09,2,7,2,1.8,-0.4,0.5833333333333334
2018-02-08,147.42,116.84,132.91,87.57,2,8,3,6.1,-0.7,2.45
2018-02-09,150.7,116.84,126.95,81.63,2,9,4,10.1,1.5,5.579166666666667
2018-02-10,147.2,116.34,130.1,83.0,2,10,5,7.4,3.3,6.1499999999999995
2018-02-11,149.81,116.91,127.0,82.75,2,11,6,5.0,1.3,2.791666666666666
2018-02-12,167.78,124.68,138.91,89.2,2,12,0,3.9,0.8,2.654166666666667
2018-02-13,146.75,126.95,132.89,85.22,2,13,1,8.3,3.1,5.008333333333334
2018-02-14,168.73,116.84,132.9,75.44,2,14,2,14.8,2.7,9.2125
2018-02-15,142.71,116.62,129.99,74.21,2,15,3,10.5,5.2,7.520833333333331
2018-02-16,137.18,51.12,121.13,74.96,2,16,4,7.9,3.9,6.024999999999999
2018-02-17,152.5,107.61,126.44,78.31,2,17,5,6.4,2.8,4.695833333333334
2018-02-18,148.28,116.91,130.39,73.8,2,18,6,10.0,2.0,6.337500000000001
2018-02-19,151.67,116.84,133.35,77.87,2,19,0,10.3,5.6,8.258333333333331
2018-02-20,145.99,115.16,125.54,76.98,2,20,1,11.4,4.8,8.3375
2018-02-21,167.06,116.84,134.82,81.87,2,21,2,7.5,4.3,5.741666666666668
2018-02-22,165.91,116.84,134.31,84.73,2,22,3,7.3,3.5,5.070833333333333
2018-02-23,143.44,116.84,128.36,80.26,2,23,4,12.7,3.4,8.475
2018-02-24,148.34,116.63,125.61,73.9,2,24,5,13.1,5.4,9.200000000000001
2018-02-25,144.2,116.36,126.36,74.19,2,25,6,12.5,7.7,10.008333333333335
2018-02-26,146.47,116.84,131.38,78.89,2,26,0,11.6,4.4,8.058333333333334
2018-02-27,171.36,116.55,129.76,74.89,2,27,1,14.0,6.0,10.124999999999998
2018-02-28,165.98,115.09,130.85,78.61,2,28,2,16.9,6.9,11.262500000000001
2018-03-01,181.14,119.65,134.24,80.59,3,1,3,10.4,3.4,7.029166666666668
2018-03-02,175.15,120.62,138.56,78.97,3,2,4,8.1,2.9,5.458333333333333
2018-03-03,180.97,113.75,133.78,73.19,3,3,5,19.0,6.2,11.708333333333334
2018-03-04,154.19,94.96,128.29,65.1,3,4,6,22.9,11.0,16.34583333333333
2018-03-05,180.0,119.48,135.75,76.46,3,5,0,21.8,8.4,11.533333333333333
2018-03-06,181.06,120.72,134.07,76.67,3,6,1,10.7,8.3,9.379166666666668
2018-03-07,180.18,120.76,132.96,77.36,3,7,2,11.4,8.7,10.054166666666669
2018-03-08,148.79,120.44,128.11,80.75,3,8,3,8.5,5.3,7.095833333333332
2018-03-09,155.29,120.62,137.74,79.37,3,9,4,7.6,4.3,5.633333333333333
2018-03-10,156.42,120.74,130.04,77.53,3,10,5,10.9,4.3,7.9125000000000005
2018-03-11,130.54,111.14,124.04,73.95,3,11,6,11.1,5.2,8.533333333333333
2018-03-12,130.55,120.47,124.43,74.94,3,12,0,14.6,7.0,10.979166666666666
2018-03-13,128.39,119.18,123.89,70.51,3,13,1,18.7,10.0,14.316666666666665
2018-03-14,133.16,116.65,125.3,67.13,3,14,2,19.7,12.6,16.370833333333334
2018-03-15,151.53,99.61,132.88,68.89,3,15,3,21.2,12.7,17.4125
2018-03-16,157.06,112.95,131.0,76.17,3,16,4,12.1,8.9,9.729166666666666
2018-03-17,178.47,119.61,143.32,73.2,3,17,5,13.3,7.3,9.820833333333335
2018-03-18,155.53,119.1,133.31,66.22,3,18,6,20.7,8.0,14.475
2018-03-19,157.0,108.57,131.33,76.3,3,19,0,16.1,10.3,13.154166666666663
2018-03-20,153.61,118.81,130.42,80.96,3,20,1,10.2,6.6,8.654166666666667
2018-03-21,145.02,118.38,134.24,80.62,3,21,2,6.5,4.3,5.429166666666667
2018-03-22,150.24,120.23,135.83,80.24,3,22,3,10.0,5.3,7.245833333333334
2018-03-23,155.68,120.5,132.32,78.27,3,23,4,11.5,4.6,8.262500000000001
2018-03-24,157.11,116.8,129.99,72.59,3,24,5,16.0,8.2,12.091666666666667
2018-03-25,159.98,114.86,127.22,69.3,3,25,6,16.3,9.6,13.187500000000005
2018-03-26,155.42,119.19,129.68,71.81,3,26,0,16.5,10.2,13.349999999999996
2018-03-27,147.7,120.46,125.03,72.05,3,27,1,19.1,10.5,14.479166666666666
2018-03-28,145.45,115.13,129.51,69.04,3,28,2,18.6,9.7,14.679166666666665
2018-03-29,170.18,110.7,136.7,68.56,3,29,3,18.6,12.3,15.441666666666668
2018-03-30,179.64,113.85,133.94,68.84,3,30,4,18.2,13.6,15.383333333333338
2018-03-31,173.16,114.06,135.34,66.5,3,31,5,20.6,13.3,16.666666666666668
2018-04-01,152.84,117.78,129.73,62.66,4,1,6,20.3,15.4,17.945833333333336
2018-04-02,147.17,114.6,128.9,64.46,4,2,0,20.3,15.4,17.9125
2018-04-03,146.47,112.57,128.96,63.96,4,3,1,20.3,15.5,17.67083333333333
2018-04-04,146.15,115.72,128.51,64.09,4,4,2,20.2,15.9,17.9875
2018-04-05,157.0,119.59,128.94,66.18,4,5,3,21.1,14.6,17.545833333333334
2018-04-06,146.8,112.89,128.48,73.82,4,6,4,18.2,8.9,12.087499999999999
2018-04-07,140.68,104.62,130.96,77.14,4,7,5,9.5,6.0,7.758333333333333
2018-04-08,138.56,109.54,132.52,72.41,4,8,6,15.9,7.2,11.925000000000002
2018-04-09,153.33,117.05,130.04,71.3,4,9,0,16.0,12.8,14.483333333333334
2018-04-10,148.9,112.26,127.17,65.32,4,10,1,22.0,12.7,17.762500000000006
2018-04-11,132.11,87.0,123.6,67.31,4,11,2,21.1,14.9,17.975
2018-04-12,149.94,88.3,122.15,65.96,4,12,3,23.3,13.5,16.770833333333332
2018-04-13,151.95,88.55,127.18,66.34,4,13,4,19.4,14.8,16.5125
2018-04-14,156.29,87.24,118.1,66.9,4,14,5,22.6,10.3,15.433333333333332
2018-04-15,139.97,87.93,118.32,70.95,4,15,6,15.7,9.8,12.033333333333333
2018-04-16,143.54,120.21,126.7,69.32,4,16,0,14.1,8.6,11.916666666666666
2018-04-17,152.17,109.58,128.95,70.04,4,17,1,16.4,13.0,14.570833333333331
2018-04-18,153.92,110.44,129.06,71.89,4,18,2,16.8,10.9,13.795833333333333
2018-04-19,147.36,120.72,131.39,70.51,4,19,3,19.3,9.5,14.787500000000003
2018-04-20,146.85,110.57,126.6,69.56,4,20,4,20.0,12.4,16.395833333333332
2018-04-21,150.95,118.85,129.26,64.28,4,21,5,19.4,13.5,17.125000000000004
2018-04-22,131.25,120.8,126.33,62.76,4,22,6,23.1,18.2,20.279166666666665
2018-04-23,150.47,88.78,130.0,66.84,4,23,0,21.5,16.2,18.85
2018-04-24,150.78,109.58,130.2,67.67,4,24,1,16.4,13.8,14.91666666666667
2018-04-25,151.08,108.77,130.26,71.06,4,25,2,17.7,13.1,14.770833333333334
2018-04-26,158.91,116.02,130.28,68.0,4,26,3,18.7,12.3,15.395833333333336
2018-04-27,145.25,119.45,128.72,66.32,4,27,4,20.5,13.6,16.570833333333336
2018-04-28,137.28,118.77,126.08,63.86,4,28,5,19.3,13.4,16.312499999999996
2018-04-29,133.41,117.94,126.07,61.98,4,29,6,18.6,14.9,17.087500000000002
2018-04-30,132.7,120.22,125.65,63.19,4,30,0,25.0,17.6,20.620833333333326
2018-05-01,129.84,117.09,124.66,63.46,5,1,1,24.9,16.6,20.55
2018-05-02,131.69,120.27,124.41,66.53,5,2,2,23.9,13.6,18.120833333333337
2018-05-03,177.3,115.01,125.97,67.86,5,3,3,18.6,12.8,15.266666666666666
2018-05-04,131.18,120.44,125.36,67.22,5,4,4,19.7,12.4,16.062499999999996
2018-05-05,133.71,114.07,125.65,61.13,5,5,5,22.3,14.2,18.929166666666667
2018-05-06,129.22,80.38,120.98,61.55,5,6,6,23.4,17.9,20.22083333333333
2018-05-07,131.68,114.16,124.83,62.69,5,7,0,18.1,15.6,16.920833333333334
2018-05-08,149.58,109.5,128.58,64.51,5,8,1,17.9,14.9,16.133333333333336
2018-05-09,152.16,112.58,128.99,64.78,5,9,2,17.7,14.1,15.583333333333329
2018-05-10,150.52,113.47,127.54,66.11,5,10,3,18.3,14.0,15.954166666666666
2018-05-11,153.79,110.78,127.95,61.16,5,11,4,21.3,12.2,17.40833333333333
2018-05-12,130.36,113.91,124.47,60.43,5,12,5,24.4,19.2,21.774999999999995
2018-05-13,152.86,80.7,122.69,60.61,5,13,6,21.5,15.0,17.608333333333334
2018-05-14,148.5,116.85,129.57,63.13,5,14,0,22.4,15.1,18.554166666666664
2018-05-15,153.76,118.78,128.76,63.72,5,15,1,26.2,18.1,21.5625
2018-05-16,151.16,115.85,128.5,67.37,5,16,2,28.9,21.5,24.91666666666667
